referrer,expgender,exprace,compensation,age,sunkgroup,sunkDV,gainlossgroup,gainlossDV,exprace_baburao
2,1,9,5,17,1,9,1,2,9
2,1,9,5,18,1,8,1,2,9
2,1,9,5,32,1,9,1,1,9
2,1,9,5,19,2,9,2,2,9
2,1,9,5,19,2,9,2,1,9
2,1,9,5,21,1,9,2,2,9
2,1,9,5,18,2,9,1,2,9
2,1,9,5,19,2,5,2,2,9
2,1,9,5,20,1,9,1,2,9
2,1,9,5,20,1,9,1,2,9
2,1,9,5,17,2,9,2,1,9
2,1,9,5,18,2,9,1,2,9
2,1,9,5,18,1,8,1,1,9
2,1,9,5,18,1,4,1,2,9
2,1,9,5,17,2,8,2,1,9
2,1,9,5,21,2,2,1,1,9
2,1,9,5,17,2,5,1,1,9
2,1,9,5,36,2,9,2,1,9
2,1,9,5,19,1,9,2,1,9
2,1,9,5,18,2,9,2,2,9
2,1,9,5,23,1,9,1,2,9
2,1,9,5,17,2,8,2,2,9
2,1,9,5,18,1,7,2,1,9
2,1,9,5,19,1,9,2,1,9
2,1,9,5,31,1,7,1,2,9
2,1,9,5,19,1,9,2,2,9
2,1,9,5,19,2,9,2,1,9
2,1,9,5,24,2,9,2,1,9
2,1,9,5,19,1,9,1,2,9
2,1,9,5,21,2,9,1,2,9
2,1,9,5,19,2,9,1,2,9
2,1,9,5,22,2,9,1,1,9
2,1,9,5,19,1,7,1,2,9
2,1,9,5,20,2,9,2,2,9
2,1,9,5,22,2,9,2,1,9
2,1,9,5,19,2,9,1,2,9
2,1,9,5,22,2,9,2,,9
2,1,9,5,18,2,1,1,2,9
2,1,9,5,23,2,9,2,1,9
2,2,9,5,18,1,9,1,1,9
2,1,9,5,23,1,9,1,2,9
2,2,9,5,21,1,9,2,2,9
2,1,9,3,18,1,6,1,2,9
2,1,9,3,20,2,8,1,1,9
2,1,9,3,18,2,9,1,1,9
2,1,9,3,18,2,8,1,2,9
2,1,9,3,19,1,9,2,2,9
2,1,9,3,21,2,9,2,1,9
2,2,9,3,20,1,7,1,2,9
2,2,9,3,26,2,8,2,2,9
2,1,9,3,20,1,1,1,1,9
2,1,9,3,19,1,9,1,2,9
2,1,9,3,19,2,9,2,1,9
2,1,9,3,22,1,2,2,2,9
2,2,9,3,19,1,9,1,2,9
2,2,9,3,23,1,7,1,1,9
2,1,9,3,20,1,9,2,1,9
2,2,9,3,18,1,9,2,1,9
2,1,9,3,19,1,6,1,2,9
2,1,9,3,19,2,5,1,2,9
2,1,9,3,19,2,9,2,2,9
2,1,9,3,27,1,7,2,1,9
2,1,9,3,19,2,6,1,2,9
2,1,9,3,19,2,9,1,2,9
2,2,9,3,20,2,9,2,1,9
2,2,9,3,19,1,8,1,2,9
2,1,9,3,24,2,9,2,2,9
2,1,9,3,21,1,9,2,1,9
2,2,9,3,19,2,8,1,2,9
2,1,9,3,19,2,9,1,1,9
2,1,9,3,19,2,9,2,1,9
2,1,9,3,21,2,9,1,2,9
2,1,9,3,22,1,4,2,1,9
2,2,9,3,20,2,9,2,1,9
2,2,9,3,20,2,9,2,1,9
2,2,9,3,23,2,9,2,2,9
2,2,9,3,19,2,7,2,1,9
2,1,9,3,23,2,1,2,1,9
2,1,9,3,17,1,1,2,2,9
2,1,9,3,23,2,9,2,1,9
2,1,9,3,21,1,8,2,2,9
2,1,9,3,22,1,1,1,2,9
2,1,9,3,19,1,5,2,1,9
2,1,9,3,18,1,9,2,1,9
2,2,9,3,17,2,1,1,1,9
2,1,9,3,19,2,9,1,2,9
2,2,9,3,23,2,8,1,1,9
2,2,9,3,20,1,9,1,1,9
2,2,9,3,19,1,9,2,1,9
2,1,9,3,23,1,9,1,2,9
2,2,9,3,20,2,9,1,2,9
2,1,9,3,17,2,9,2,1,9
2,2,9,3,18,1,2,2,2,9
2,2,9,3,28,1,1,1,1,9
2,1,9,3,18,1,8,1,1,9
2,1,9,3,17,2,6,1,1,9
2,1,9,3,16,1,9,2,2,9
3,1,6,1,22,1,7,1,1,6
3,1,6,1,21,1,9,2,2,6
3,1,6,1,23,2,9,1,2,6
3,1,6,1,20,1,9,2,1,6
3,1,6,1,19,2,9,1,1,6
3,1,6,1,20,2,6,2,2,6
3,1,6,1,21,1,7,2,2,6
3,1,6,1,22,1,8,2,2,6
3,1,6,1,20,2,8,2,1,6
3,1,6,1,20,2,9,1,2,6
3,1,6,1,22,2,7,2,2,6
3,1,6,1,24,2,9,1,2,6
3,1,6,1,19,2,8,1,2,6
3,1,6,1,22,2,9,1,1,6
3,1,6,3,21,1,6,2,2,6
3,1,6,3,22,1,8,1,1,6
3,1,6,3,22,1,7,2,1,6
3,1,6,3,20,1,1,2,2,6
3,1,6,3,22,1,7,2,1,6
3,1,6,3,26,1,7,1,2,6
3,1,6,3,20,2,8,1,2,6
3,1,6,3,20,1,5,2,2,6
3,1,6,3,23,2,9,2,2,6
3,1,6,3,20,2,9,2,1,6
3,1,6,3,19,1,8,2,1,6
3,1,6,3,25,2,7,2,1,6
3,1,6,3,28,1,9,2,1,6
3,1,6,3,21,1,7,2,2,6
3,1,6,1,20,1,5,1,2,6
3,1,6,1,20,2,3,2,2,6
3,1,6,1,22,1,9,2,1,6
3,1,6,1,22,2,8,2,1,6
3,1,6,1,24,1,9,1,1,6
3,1,6,1,19,1,8,2,1,6
3,1,6,1,20,1,9,2,2,6
3,1,6,1,32,1,7,2,1,6
3,1,6,1,22,1,7,1,1,6
3,1,6,1,20,2,9,1,2,6
3,1,6,3,22,2,8,1,1,6
3,1,6,3,22,1,7,2,2,6
3,1,6,3,20,1,9,1,1,6
3,1,6,3,23,2,9,1,2,6
3,1,6,3,27,1,1,2,1,6
3,1,6,3,25,1,1,1,1,6
3,1,6,3,19,1,9,1,2,6
3,1,6,3,21,2,7,2,1,6
3,1,6,3,20,2,9,2,1,6
3,1,6,3,18,1,7,1,2,6
3,1,6,3,25,1,9,2,2,6
3,1,6,3,31,1,2,1,2,6
3,1,6,3,28,2,9,2,1,6
3,1,6,3,28,2,6,2,2,6
3,1,6,1,19,1,5,2,1,6
3,1,6,1,21,1,4,2,1,6
3,1,6,1,22,2,9,2,1,6
3,1,6,1,22,2,7,2,1,6
3,1,6,1,20,2,7,2,1,6
3,1,6,3,28,1,3,2,2,6
3,1,6,3,34,2,2,1,2,6
3,1,6,3,19,2,9,1,1,6
3,1,6,3,19,1,8,2,1,6
3,1,6,3,25,1,7,2,1,6
3,1,6,3,20,1,9,2,2,6
3,1,6,3,23,1,9,2,1,6
3,1,6,3,21,2,9,2,1,6
3,1,6,3,23,1,7,1,1,6
3,1,6,3,23,1,1,2,2,6
3,1,6,3,23,1,5,1,2,6
3,1,6,3,22,2,9,2,2,6
3,1,6,3,24,1,8,2,2,6
3,1,6,3,24,1,8,2,1,6
3,1,6,3,22,1,9,2,1,6
3,1,6,3,22,2,8,2,,6
3,1,6,1,19,1,6,2,1,6
3,1,6,1,20,1,9,1,1,6
3,1,6,1,39,2,5,1,1,6
3,1,6,1,23,1,7,1,1,6
3,1,6,1,26,1,6,2,1,6
3,1,6,1,20,2,8,1,1,6
3,1,6,3,21,1,9,1,1,6
3,1,6,3,22,2,7,2,1,6
3,1,6,3,23,1,9,1,1,6
3,1,6,3,23,2,9,2,2,6
3,1,6,3,24,2,9,2,1,6
4,1,6,1,23,2,9,2,1,6
4,1,6,1,20,2,9,2,1,6
4,1,6,1,19,1,9,2,1,6
4,1,6,1,18,1,9,2,1,6
4,1,6,1,20,1,7,2,1,6
4,1,6,1,19,2,9,2,1,6
4,1,6,1,19,1,9,2,2,6
4,1,6,1,21,1,3,2,1,6
4,1,6,1,19,1,7,2,1,6
4,1,6,1,20,2,8,2,1,6
4,1,6,1,18,2,5,1,1,6
4,1,6,1,19,1,9,1,1,6
4,1,6,1,20,1,9,2,2,6
4,1,6,1,19,2,8,2,1,6
4,1,6,1,20,2,9,1,2,6
4,,3,,19,1,9,2,1,3
4,1,6,1,20,2,8,1,2,6
4,1,6,1,20,1,9,1,1,6
4,1,6,1,18,1,7,2,1,6
4,1,6,1,19,2,9,1,2,6
4,1,6,1,19,2,9,2,2,6
4,1,6,1,20,1,9,1,1,6
4,1,6,1,20,1,7,2,1,6
4,1,6,1,20,1,9,1,1,6
4,1,6,1,18,2,9,1,2,6
4,1,6,1,20,2,7,1,2,6
4,1,6,1,20,1,7,1,1,6
4,1,6,1,19,1,8,1,2,6
4,1,6,1,20,2,9,2,,6
4,1,6,1,20,2,8,2,1,6
4,1,6,1,21,2,9,2,2,6
4,1,6,1,19,2,9,1,2,6
4,1,6,5,20,1,9,2,1,6
4,1,6,1,22,1,1,2,2,6
4,1,6,1,20,2,9,2,,6
4,1,6,1,19,2,9,2,1,6
4,1,6,1,19,1,5,1,2,6
4,1,6,1,19,1,7,1,1,6
4,1,6,1,18,1,9,2,1,6
4,1,6,1,19,2,7,1,2,6
4,1,6,1,19,2,9,2,1,6
4,1,6,1,19,2,9,2,1,6
4,1,6,1,19,1,9,2,1,6
4,1,6,1,22,2,7,1,,6
4,1,6,1,19,2,9,2,1,6
4,1,6,1,21,2,7,2,2,6
4,1,6,1,19,2,9,1,2,6
4,1,6,1,20,1,5,1,2,6
4,1,6,1,19,2,6,2,1,6
4,1,6,1,19,2,9,2,1,6
4,1,10,1,21,2,9,2,1,10
4,1,6,1,20,2,9,2,2,6
4,1,6,1,19,2,7,2,2,6
4,1,6,1,18,1,6,1,2,6
4,1,6,1,18,1,8,2,1,6
4,1,6,1,20,1,8,1,1,6
4,1,6,1,19,2,8,1,1,6
4,1,6,1,21,2,9,2,1,6
4,1,6,1,20,1,9,1,2,6
4,1,6,1,21,1,5,2,1,6
4,1,6,1,20,1,8,1,2,6
4,1,6,1,20,2,6,1,2,6
4,1,6,1,19,2,9,1,2,6
4,1,6,1,21,2,9,2,1,6
4,1,6,1,19,2,9,2,1,6
4,1,6,1,18,2,9,2,2,6
4,1,6,1,18,1,9,2,2,6
4,1,6,1,18,2,5,1,2,6
4,1,6,1,18,1,4,1,2,6
4,1,6,1,19,2,9,1,1,6
4,1,6,1,18,1,9,2,2,6
4,1,6,1,20,2,8,2,2,6
4,1,6,1,18,1,9,1,1,6
4,1,6,1,18,1,2,1,2,6
4,1,6,1,20,2,9,1,2,6
4,1,6,1,22,1,7,1,2,6
4,1,6,1,19,1,7,2,1,6
4,1,6,1,18,1,5,1,2,6
4,1,6,1,21,1,8,1,1,6
4,1,6,1,19,1,9,1,1,6
4,1,6,1,20,1,9,2,2,6
4,1,6,1,19,1,9,1,2,6
4,1,6,1,19,2,4,2,1,6
4,1,6,1,19,2,9,2,1,6
4,1,6,1,21,1,9,1,2,6
4,1,6,1,21,1,9,2,1,6
4,1,6,1,18,2,7,2,1,6
4,1,6,1,19,2,9,2,1,6
4,2,6,1,19,1,9,1,,6
4,1,6,1,20,2,7,2,1,6
4,1,6,1,19,2,9,2,1,6
4,1,6,1,18,1,9,1,2,6
4,1,6,1,20,2,9,1,2,6
4,1,6,1,18,2,9,1,1,6
4,1,6,1,18,2,9,2,1,6
5,,,,23,2,9,2,1,
5,,,,18,1,8,1,1,
5,,,,20,1,7,2,1,
5,,,,18,2,9,1,1,
5,,,,19,1,9,2,,
5,,,,20,1,7,2,1,
5,,,,32,1,9,2,2,
5,,,,20,2,9,2,2,
5,,,,33,2,9,2,2,
5,,,,22,2,9,2,1,
5,,,,23,2,9,1,1,
5,,,,18,2,9,1,2,
5,,,,18,2,9,2,1,
5,,,,19,1,9,1,2,
5,,,,18,1,7,2,1,
5,,,,22,1,3,1,2,
5,,,,18,1,7,1,1,
5,,,,20,1,9,2,1,
5,,,,18,1,9,1,1,
5,,,,18,1,6,2,1,
5,,,,18,2,9,2,1,
5,,,,18,2,7,2,1,
5,,,,18,1,9,2,1,
5,,,,18,1,9,2,1,
5,,,,27,2,9,1,2,
5,,,,21,2,9,2,2,
5,,,,18,2,9,1,2,
5,,,,20,2,9,1,2,
5,,,,18,2,6,1,,
5,,,,18,1,7,2,1,
5,,,,18,2,6,1,2,
5,,,,18,2,7,1,2,
5,,,,18,1,4,2,1,
5,,,,19,1,8,1,1,
5,,,,18,2,9,2,2,
5,,,,21,1,7,1,2,
5,,,,19,2,9,1,1,
5,,,,18,2,9,1,1,
5,,,,19,1,7,2,1,
5,,,,18,2,7,1,2,
5,,,,19,2,6,2,2,
5,,,,39,1,9,1,1,
5,,,,21,2,9,1,2,
5,,,,18,1,6,2,1,
5,,,,22,2,9,2,1,
5,,,,18,1,9,2,1,
5,,,,21,1,7,1,1,
5,,,,18,1,8,2,2,
5,,,,,2,9,1,2,
5,,,,18,2,9,2,2,
5,,,,19,2,9,1,1,
5,,,,22,1,9,1,2,
5,,,,18,1,9,2,1,
5,,,,18,1,9,1,2,
5,,,,19,2,9,2,1,
5,,,,18,1,6,1,2,
5,,,,52,1,1,1,2,
5,,,,18,2,9,2,1,
5,,,,19,2,9,2,1,
5,,,,21,2,3,2,1,
5,,,,18,2,9,1,2,
5,,,,18,1,6,1,2,
5,,,,18,2,7,2,1,
5,,,,18,2,7,2,1,
5,,,,21,2,9,2,2,
5,,,,18,1,9,1,2,
5,,,,19,1,6,2,2,
5,,,,18,1,7,2,1,
5,,,,18,1,9,1,1,
5,,,,18,1,7,2,2,
5,,,,18,1,9,1,2,
5,,,,18,2,9,2,1,
5,,,,18,2,9,2,1,
5,,,,23,2,5,2,1,
5,,,,20,2,8,2,2,
5,,,,18,2,7,2,1,
5,,,,19,2,9,1,2,
5,,,,18,1,9,1,2,
5,,,,18,2,9,2,2,
5,,,,18,1,8,1,1,
5,,,,33,1,9,1,2,
5,,,,18,1,9,1,1,
5,,,,18,1,6,1,1,
5,,,,21,2,9,2,2,
5,,,,20,2,8,2,1,
5,,,,26,1,9,2,1,
5,,,,18,2,9,1,2,
5,,,,20,1,7,2,1,
5,,,,21,1,9,2,2,
5,,,,22,2,9,1,2,
5,,,,18,2,9,2,1,
5,,,,18,1,9,2,2,
5,,,,18,1,1,1,1,
5,,,,24,2,9,1,1,
5,,,,19,2,9,1,2,
5,,,,22,2,9,2,2,
6,2,2,1,23,2,9,1,2,2
6,2,2,1,22,2,8,1,1,2
6,2,2,1,22,2,9,1,2,2
6,1,2,1,22,2,9,2,2,2
6,2,2,1,22,2,7,1,2,2
6,2,2,1,22,1,8,1,1,2
6,2,2,1,22,1,7,1,1,2
6,2,2,1,21,1,9,1,2,2
6,2,2,1,22,2,9,2,2,2
6,2,2,1,22,1,7,2,2,2
6,1,2,1,20,1,9,1,1,2
6,1,2,1,22,2,9,1,2,2
6,1,2,1,23,1,5,2,2,2
6,1,2,1,22,2,9,1,2,2
6,2,2,1,21,2,9,1,2,2
6,2,2,1,21,2,9,2,2,2
6,2,2,1,23,1,9,1,2,2
6,2,2,1,22,2,9,1,2,2
6,2,2,1,23,1,9,1,2,2
6,2,2,1,21,2,9,2,2,2
6,1,2,1,20,1,9,2,1,2
6,1,2,1,23,2,9,2,1,2
6,1,2,1,22,2,9,2,,2
6,1,2,1,21,2,9,2,1,2
6,1,2,1,22,1,9,2,1,2
6,2,2,1,22,1,9,1,1,2
6,1,2,1,24,2,9,2,1,2
6,1,2,1,23,1,8,1,2,2
6,2,2,1,,2,9,2,1,2
6,2,2,1,22,2,8,2,1,2
6,2,2,1,21,1,6,1,,2
6,2,2,1,21,2,7,1,2,2
6,2,2,1,21,2,9,2,2,2
6,2,2,1,21,2,9,2,2,2
6,2,2,1,22,1,9,1,2,2
6,2,2,1,23,2,9,2,1,2
6,2,2,1,,2,7,2,1,2
6,2,2,1,22,1,6,2,1,2
6,2,2,1,22,2,6,1,2,2
6,2,2,1,21,2,7,2,1,2
6,2,2,1,,1,9,1,2,2
6,2,2,1,22,1,9,1,2,2
6,2,2,1,23,1,7,2,1,2
6,2,2,1,23,2,9,2,1,2
6,2,2,1,22,1,8,1,1,2
6,2,2,1,23,1,5,1,2,2
6,2,2,1,21,2,9,2,2,2
6,2,2,1,21,2,9,2,2,2
6,2,2,1,22,2,9,2,1,2
6,2,2,1,22,1,7,1,2,2
6,2,2,1,23,2,9,2,1,2
6,2,2,1,23,2,1,1,2,2
6,2,2,1,23,2,6,1,1,2
6,2,2,1,22,2,9,2,1,2
6,2,2,1,22,1,9,2,1,2
6,2,2,1,21,2,7,1,2,2
6,2,2,1,23,2,7,1,1,2
6,2,2,1,22,1,8,2,1,2
6,2,2,1,22,2,9,2,2,2
6,2,2,1,21,1,4,1,2,2
6,2,2,1,22,2,9,2,1,2
6,1,2,1,22,2,7,1,2,2
6,1,2,1,22,1,9,1,2,2
6,1,2,1,21,2,9,2,2,2
6,1,2,1,21,1,9,1,2,2
6,1,2,1,21,2,3,2,2,2
6,1,2,1,23,1,4,2,2,2
6,1,2,1,22,1,9,2,1,2
6,1,2,1,21,1,8,2,2,2
6,1,2,1,21,2,3,2,1,2
6,1,2,1,21,2,9,2,1,2
6,1,2,1,21,1,9,2,1,2
6,1,2,1,23,1,9,1,2,2
6,1,2,1,22,2,9,2,1,2
6,1,2,1,22,1,9,1,1,2
6,1,2,1,27,2,6,1,2,2
6,1,2,1,21,2,7,2,1,2
6,1,2,1,12,2,1,2,2,2
6,2,2,1,21,1,9,2,1,2
6,2,2,1,22,2,9,2,2,2
6,2,2,1,21,1,9,2,1,2
6,2,2,1,22,2,8,1,1,2
6,2,2,1,21,1,9,1,2,2
6,2,2,1,21,1,8,2,2,2
6,1,2,1,21,2,9,2,2,2
6,1,2,1,21,1,7,2,1,2
6,1,2,1,22,2,8,2,2,2
6,1,2,1,22,2,9,1,2,2
6,2,2,1,23,1,9,1,1,2
6,2,2,1,21,1,9,2,1,2
6,2,2,1,,2,2,2,2,2
6,1,2,1,23,2,9,2,2,2
6,1,2,1,22,1,9,2,2,2
6,1,2,1,22,1,9,2,2,2
6,1,2,1,22,2,1,1,2,2
6,2,2,1,21,1,7,1,2,2
6,2,2,1,22,2,9,2,1,2
6,2,2,1,21,2,9,2,2,2
6,2,2,1,21,1,3,1,2,2
6,2,2,1,22,1,7,2,2,2
6,2,2,1,21,2,8,2,,2
6,1,2,1,21,2,9,1,2,2
7,,,,21,1,9,2,2,
7,2,8,1,20,2,9,2,1,8
7,2,8,1,18,2,9,1,1,8
7,2,8,1,18,1,9,1,2,8
7,2,8,1,18,1,7,2,2,8
7,2,8,1,18,1,9,1,2,8
7,2,8,1,19,2,9,2,1,8
7,2,8,1,20,1,7,1,2,8
7,2,8,1,19,2,9,2,1,8
7,2,10,1,18,2,9,2,1,10
7,2,10,1,19,1,7,1,1,10
7,2,10,1,18,1,8,1,2,10
7,2,8,1,18,1,8,2,1,8
7,2,8,1,21,1,5,1,2,8
7,2,8,1,18,1,9,2,2,8
7,2,8,1,18,2,7,1,1,8
7,2,7,1,20,2,9,2,1,7
7,2,7,1,19,2,5,1,1,7
7,2,7,1,19,1,7,2,1,7
7,2,6,1,18,2,9,1,2,6
7,2,6,1,18,1,9,2,1,6
7,2,6,1,20,2,9,2,2,6
7,2,6,1,20,1,9,2,1,6
7,2,6,1,19,2,9,2,2,6
7,2,6,1,18,1,9,2,2,6
7,2,6,1,18,1,9,2,1,6
7,2,6,1,18,1,9,1,2,6
7,2,5,1,18,1,4,1,2,5
7,2,5,1,18,2,9,2,1,5
7,2,6,1,18,2,9,2,1,6
7,2,6,1,19,2,3,2,1,6
7,2,6,1,18,1,9,1,2,6
7,2,6,1,20,1,9,2,1,6
7,2,6,1,19,1,9,2,2,6
7,2,6,1,20,1,9,1,1,6
7,2,6,1,18,1,7,2,1,6
7,2,6,1,18,2,9,2,2,6
7,2,6,1,18,1,9,1,2,6
7,2,6,1,19,2,9,1,1,6
7,2,6,1,19,1,3,1,1,6
7,2,6,1,19,2,9,1,2,6
7,,6,1,18,1,9,2,2,6
7,2,6,1,18,1,3,2,1,6
7,2,8,1,18,2,9,2,1,8
7,2,8,1,18,1,9,1,1,8
7,2,8,1,18,1,8,1,2,8
7,2,8,1,18,1,7,1,2,8
7,2,8,1,18,1,9,2,1,8
7,2,8,1,18,2,9,1,2,8
7,2,10,1,17,2,9,1,1,10
7,2,8,1,18,1,9,1,2,8
7,2,7,1,18,2,9,2,2,7
7,2,7,1,18,2,9,1,1,7
7,2,5,1,18,2,9,1,2,5
7,2,5,1,18,1,8,1,2,5
7,2,5,1,18,1,9,2,1,5
7,2,5,1,18,1,9,1,1,5
7,2,5,1,18,1,5,2,1,5
7,2,5,1,20,1,8,2,1,5
7,2,5,1,18,1,9,2,1,5
7,2,5,1,20,1,9,1,2,5
7,2,5,1,18,1,9,1,1,5
7,2,5,1,19,2,9,2,1,5
7,2,5,1,18,1,5,1,2,5
7,2,5,1,19,2,6,1,2,5
7,2,6,1,18,1,9,2,1,6
7,2,6,1,19,2,9,1,2,6
7,2,6,1,18,1,9,2,1,6
7,2,6,1,18,1,8,2,1,6
7,,6,1,18,1,9,2,1,6
7,,6,1,19,2,9,2,1,6
7,,6,1,21,1,9,2,2,6
7,2,8,1,21,1,7,2,1,8
7,2,8,1,20,1,8,2,1,8
7,2,10,1,20,2,8,2,1,10
7,2,8,1,18,1,9,2,2,8
7,2,8,1,19,2,9,2,2,8
7,2,7,1,20,2,6,1,1,7
7,2,7,1,18,1,9,1,2,7
7,2,7,1,18,1,9,2,1,7
7,2,5,1,21,1,9,2,1,5
7,2,6,1,18,2,7,1,1,6
7,2,6,1,19,2,9,2,2,6
7,2,6,1,18,1,7,1,2,6
7,2,6,1,18,1,5,1,,6
7,2,6,1,18,1,9,2,2,6
7,2,6,1,19,2,7,1,2,6
7,2,6,1,18,2,9,1,2,6
7,2,6,1,20,1,9,2,1,6
7,2,6,1,18,2,9,2,1,6
8,,,,20,1,9,2,1,
8,,,,19,2,9,1,2,
8,,,,18,2,9,1,1,
8,,,,20,2,9,1,,
8,,,,18,2,9,1,2,
8,,,,18,1,9,2,1,
8,,,,18,1,9,1,2,
8,,,,18,1,8,2,1,
8,,,,18,1,9,1,1,
8,,,,18,1,7,2,1,
8,,,,19,1,9,2,1,
8,,,,18,2,9,2,1,
8,,,,20,1,9,1,2,
8,,,,20,1,5,2,1,
8,,,,22,1,8,2,1,
8,,,,18,1,4,1,2,
8,,,,18,2,9,2,1,
8,,,,18,2,8,2,1,
8,,,,18,2,9,2,1,
8,,,,19,1,9,1,1,
8,,,,20,2,2,2,1,
8,,,,18,2,7,1,1,
8,,,,18,2,9,1,2,
8,,,,19,2,9,1,1,
8,,,,18,1,6,2,2,
8,,,,19,1,3,2,2,
8,,,,18,1,6,1,2,
8,,,,18,1,7,1,1,
8,,,,19,1,2,2,1,
8,,,,19,2,9,1,1,
8,,,,21,1,2,2,1,
8,,,,19,2,7,1,2,
8,,,,18,2,8,1,2,
8,,,,19,1,9,2,1,
8,,,,20,1,9,1,2,
8,,,,20,2,9,1,1,
8,,,,18,1,9,2,1,
8,,,,19,2,9,2,1,
8,,,,19,1,9,1,2,
8,,,,20,1,9,1,2,
8,,,,18,2,9,2,2,
8,,,,18,2,9,2,2,
8,,,,19,2,9,2,2,
8,,,,22,2,9,2,1,
8,,,,19,2,9,1,1,
8,,,,20,1,9,2,1,
8,,,,19,2,9,1,2,
8,,,,19,1,9,2,2,
8,,,,18,2,9,1,2,
8,,,,18,1,9,2,1,
8,,,,19,1,7,1,1,
8,,,,18,1,9,1,2,
8,,,,18,2,9,1,1,
8,,,,18,1,2,2,1,
8,,,,19,1,9,2,2,
